id	row	cost	en	jp
V11-B12-G1-001	1	0.1972	After lunch, Mei found a blue umbrella near the school entrance.	昼食後、メイは学校の玄関近くで青い傘を見つけました。
V11-B12-G1-001	2	0.1892	A tag on it said Class 1-3, but the umbrella was in the Class 1-2 stand.	タグには1年3組と書かれていましたが、その傘は1年2組の傘立てにありました。
V11-B12-G1-001	3	0.3057	Mei did not take it to either classroom at once.	メイはすぐにどちらかの教室へ持って行くことはしませんでした。
V11-B12-G1-001	4	0.0069	She checked the lost-item table and saw a note from Ken in Class 1-3.	落とし物の表を確認すると、1年3組のケンからのメモがありました。
V11-B12-G1-001	5	0.0764	He had left a blue umbrella near the entrance before lunch.	ケンは昼食前に玄関近くへ青い傘を置き忘れていました。
V11-B12-G1-001	6	0.2125	Mei took the umbrella to the school office and told Ken where it was.	メイは傘を職員室へ持って行き、ケンに場所を伝えました。
V11-B12-G1-001	7	0.0232	The class number and the place helped her return the right umbrella without guessing.	組の番号と場所の手がかりのおかげで、メイは推測せず正しい傘を返すことができました。
V11-B12-G1-002	1	0.1196	On Thursday morning, Sora finished a library book and filled in his reading card.	木曜日の朝、ソラは図書館の本を読み終え、読書カードを書きました。
V11-B12-G1-002	2	0.1431	He almost put it into the box marked Friday because several cards were already there.	金曜日と書かれた箱にすでに何枚かカードが入っていたので、そこへ入れそうになりました。
V11-B12-G1-002	3	0.2356	Then he looked at the collection chart beside the boxes.	そこで、ソラは箱の横の回収表を見ました。
V11-B12-G1-002	4	0.0349	Thursday's cards would be collected after lunch, but Friday's box was for the next day.	木曜日のカードは昼食後に回収され、金曜日の箱は翌日用だと分かりました。
V11-B12-G1-002	5	0.0667	Sora moved his card to the Thursday box and told his friend why.	ソラはカードを木曜日の箱へ移し、友達にも理由を伝えました。
V11-B12-G1-002	6	0.1123	After lunch, the librarian collected the Thursday cards as the chart said.	昼食後、図書委員は表のとおり木曜日のカードを回収しました。
V11-B12-G1-002	7	1.536	A quick check of the weekday kept Sora's card from waiting an extra day.	曜日を少し確認したことで、ソラのカードが一日余計に待つことを防げました。
V11-B12-G1-003	1	0.3861	Aya's class had to meet in the hall at ten o'clock.	アヤのクラスは10時にホールへ集合することになっていました。
V11-B12-G1-003	2	0.1997	At 9:50, the classroom clock showed 9:55, so some students started to line up.	9時50分、教室の時計は9時55分を示していたため、何人かの生徒は並び始めました。
V11-B12-G1-003	3	0.0077	Aya looked at the clock on her tablet, which showed 9:50.	アヤがタブレットの時計を見ると9時50分でした。
V11-B12-G1-003	4	0.1147	Their teacher checked the office clock and found that the classroom clock was five minutes fast.	先生が職員室の時計を確認すると、教室の時計が5分進んでいることが分かりました。
V11-B12-G1-003	5	0.1798	The class waited a little longer and reached the hall at the planned time.	クラスは少し待ち、予定どおりの時刻にホールへ着きました。
V11-B12-G1-003	6	0.1213	Later, the teacher reset the classroom clock.	その後、先生は教室の時計を直しました。
V11-B12-G1-003	7	0.1127	The students learned why they had started lining up early even though the schedule had not changed.	予定は変わっていないのに、なぜ早く並び始めてしまったのか生徒たちは理解しました。
V11-B12-G1-004	1	0.0099	A poster near the stairs said, 'Music Club Welcome Day,' and its arrow pointed left.	階段の近くに「音楽部歓迎会」と書かれたポスターがあり、矢印は左を指していました。
V11-B12-G1-004	2	0.0957	Riku followed it and reached the old music room, but the door was locked.	リクがそのとおり進むと旧音楽室に着きましたが、扉には鍵がかかっていました。
V11-B12-G1-004	3	0.0183	A smaller notice on the door said that the club now met in Room 204 on the right side of the stairs.	扉の小さな掲示には、音楽部は今は階段の右側にある204教室で活動すると書かれていました。
V11-B12-G1-004	4	0.0744	Riku found the new room and told the club leader about the old arrow.	リクは新しい部屋を見つけ、部長に古い矢印のことを伝えました。
V11-B12-G1-004	5	1.3817	Before more visitors arrived, they covered the wrong arrow and added a new one.	さらに来客が来る前に、みんなで間違った矢印を隠し、新しい矢印を付けました。
V11-B12-G1-004	6	0.0168	The changed sign helped the next group reach Room 204 directly.	直した案内のおかげで、次の人たちは直接204教室へ行けました。
V11-B12-G1-005	1	0.3448	Before PE, Haru counted twelve soccer bibs for two teams of six.	体育の前、ハルは6人ずつ2チーム分としてサッカーのビブスを12枚数えました。
V11-B12-G1-005	2	0.4855	A few minutes later, the teacher said that four students from another class would join the game.	数分後、先生が別のクラスから4人加わると伝えました。
V11-B12-G1-005	3	0.0432	Haru first thought twelve bibs were still enough because the bags were already ready.	袋の準備が終わっていたため、ハルは最初12枚のままで足りると思いました。
V11-B12-G1-005	4	0.142	Then he counted the players: sixteen students needed two teams of eight.	しかし選手を数えると、16人を8人ずつの2チームにする必要がありました。
V11-B12-G1-005	5	1.6013	He brought four more bibs from the storage room and counted again.	ハルは倉庫から4枚追加し、もう一度数えました。
V11-B12-G1-005	6	0.2113	When the game began, every player had a bib.	試合が始まると全員がビブスを着けられました。
V11-B12-G1-005	7	0.1158	Recounting after the group changed prevented a problem on the field.	人数が変わった後に数え直したことで、グラウンドでの問題を防げました。
V11-B12-G1-006	1	0.2485	During lunch, Yui found a small note under her desk mat.	昼食中、ユイは自分の机のマットの下に小さなメモを見つけました。「
V11-B12-G1-006	2	0.0174	It said, 'Please bring your blue lunch cloth home today,' but Yui's cloth was yellow.	今日は青い給食用の布を持ち帰ってね」とありましたが、ユイの布は黄色でした。
V11-B12-G1-006	3	0.0856	She did not throw the note away.	ユイはメモを捨てませんでした。
V11-B12-G1-006	4	0.1976	The name at the bottom was partly covered, but she could read the first letter, M.	下の名前は一部隠れていましたが、最初の文字Mは読めました。
V11-B12-G1-006	5	0.3154	The student beside her was Mina, who used a blue lunch cloth.	隣の席のミナは青い布を使っていました。
V11-B12-G1-006	6	0.1613	Mina checked the note and recognized her mother's writing.	ミナがメモを見ると、母親の字だと分かりました。
V11-B12-G1-006	7	0.0062	The note had slipped under Yui's mat while the desks were being cleaned.	机を掃除したときに、メモがユイのマットの下へ入り込んだのでした。
V11-B12-G1-006	8	0.334	By checking the clues, Yui found the right owner.	手がかりを確かめることで、ユイは正しい持ち主を見つけました。
V11-B12-G1-007	1	0.2223	After art class, Kota saw a jar of dirty water beside several finished pictures.	図工の授業後、コウタは完成した絵のそばに汚れた水の入ったびんがあるのを見つけました。
V11-B12-G1-007	2	1.5365	Students were carrying bags past the table, and one bag almost touched the jar.	生徒たちがかばんを持って机の横を通り、あるかばんがびんに当たりそうになりました。
V11-B12-G1-007	3	0.1723	Kota did not leave it there for the cleaning group.	コウタは掃除係に任せてそのままにはしませんでした。
V11-B12-G1-007	4	0.2149	He moved the finished pictures to the drying shelf first, then carried the water jar to the sink.	まず完成した絵を乾燥棚へ移し、それから水のびんを流しへ運びました。
V11-B12-G1-007	5	0.0499	He also wiped the wet ring under the jar.	びんの下のぬれた跡も拭きました。
V11-B12-G1-007	6	0.2676	When the next class entered, the table was clear and the pictures were safe.	次のクラスが入ったとき、机は片づき、絵も安全でした。
V11-B12-G1-007	7	0.0891	Moving the wet materials before someone knocked them over protected the class's work.	誰かが倒す前にぬれた道具を動かしたことで、みんなの作品を守れました。
V11-B12-G1-008	1	0.2317	The class trip sheet told students to meet at Green Park Stop.	校外学習のプリントには、グリーンパーク停留所へ集合すると書かれていました。
V11-B12-G1-008	2	0.1444	On the morning of the trip, Nao saw a new sign there: River Park Stop.	当日の朝、ナオはそこに「リバーパーク停留所」という新しい表示を見つけました。
V11-B12-G1-008	3	0.2196	She checked the route map at the stop and found a note saying the stop had received a new name that week.	停留所の路線図を確認すると、その週に停留所名が変わったという案内がありました。
V11-B12-G1-008	4	0.0507	The bus number and location were unchanged.	バス番号と場所は変わっていませんでした。
V11-B12-G1-008	5	0.2459	Nao showed the note to her teacher, who explained the change to the class before they boarded.	ナオが先生に案内を見せると、先生は乗車前にクラスへ変更を説明しました。
V11-B12-G1-008	6	1.5407	No one walked to another stop just because the printed sheet used the old name.	印刷されたプリントが古い名前だったというだけで、別の停留所へ歩いて行く人はいませんでした。
V11-B12-G1-009	1	1.5369	Mio and Ren were both on animal duty.	ミオとレンは二人とも飼育当番でした。
V11-B12-G1-009	3	1.5075	Five minutes later, Ren saw the empty box on the chart and checked the door again.	5分後、レンは表が空欄なのを見て、扉をもう一度確認しました。
V11-B12-G1-009	4	0.0279	The hamster was safe, but the two students had done the same task.	ハムスターは安全でしたが、二人は同じ仕事をしていました。
V11-B12-G1-009	5	0.1575	They decided that the person who finished each job would mark the chart at once.	そこで仕事を終えた人がすぐ表に印を付けることにしました。
V11-B12-G1-009	6	0.1757	The next day, Ren saw Mio's mark and cleaned the water dish instead of repeating the door check.	翌日、レンはミオの印を見て、扉を再確認する代わりに水皿を洗いました。
V11-B12-G1-010	1	1.5611	After fifth-period PE, Toma found a blue scarf on a bench outside the gym.	5時間目の体育後、トウマは体育館の外のベンチで青いマフラーを見つけました。
V11-B12-G1-010	2	0.034	He remembered that two classes had used the gym that day, so he did not assume it belonged to someone in his class.	その日は二つのクラスが体育館を使っていたので、自分のクラスの誰かの物だとは決めつけませんでした。
V11-B12-G1-010	3	1.3959	The lost-item board showed that a student from Class 1-4 had reported a blue scarf missing after fourth period.	落とし物掲示には、1年4組の生徒が4時間目の後に青いマフラーをなくしたと届けていました。
